,,,,,,,,,,,,,,,,,,,,
,,Final Perfumes Prices and Category List,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Sr. #,Perfume Oil,Brand,Supplier,Category,Season,Time,Notes Details,,,Price of 100 Gram Oil,"Attar Price 
(1 Tola)","Box Price 
(1 Tola)","Bottle Price
(1 Tola)",PrintingCost,Flyer Cost,Delivery Charges,"Total Cost 
(1 Tola)",Selling Price
,,,,,,,,,Top Note,Heart Note,Base Notes,,,,,,,,,
,,  1 ,1 MILLION ROYAL BY PACO RABANNE - PRM,PACO RABANNE,TRS Chem,Men,"Spring, Winter &  Autumn",DAY & NIGHT,"Cardamom, Tangerin, Bergamot","Lavender, Violet Leaf and Sage","Benzoin, Cedarwood, Patchouli",5300,636,150,120,2,10,250,1168,1668
,,  2 ,GANYMEDE BY MARC ANTOINE BARROIS) - PRM,MARC ANTOINE BARROIS,Farhan,Unisex,All Seasons,DAY & NIGHT,Mandarin Orange and Saffron,Violet Leaf and Osmanthus,Akigalawood and Immortelle,5000,600,150,120,2,10,250,1132,1632
,,  3 ,SILK MUSK SUPER BY AJMAL,AJMAL,Farhan,Unisex,All Seasons,DAY & NIGHT,Lily-of-the-Valley and White Florals,Pure White Musk,Amber and Musk,4500,540,150,120,2,10,250,1072,1572
,,  4 ,X FOR MEN BY CLIVE CHRISTIAN,CLIVE CHRISTIAN,TRS Chem,Men,Winter & Autumn,Evening / Night,"Cardamom, Pink Pepper, Ginger, and Bergamot","Orris Butter, Cinnamon, Violet, and Jasmine","Vetiver, Oakmoss, Cedarwood, Amber, and Vanilla",4400,528,150,120,2,10,250,1060,1560
,,  5 ,AVENTUS BY CREED - PRM,CREED,Sensula,Men,All Seasons,DAY & NIGHT,"Pineapple, Bergamot, Black Currant, Apple","Birch (Smoky), Patchouli, Moroccan Jasmine, Rose","Musk, Oakmoss, Ambergris, Vanilla",4200,504,150,120,2,10,250,1036,1536
,,  6 ,GUCCI GUILTY ELIXIR DE PARFUM POUR HOMME ,GUCCI,TRS Chem,Unisex,All Seasons,DAY & NIGHT,"Orange Flower, Pimento, and Nutmeg","Orris Butter (Iris), Orange Blossom, and Osmanthus","Ambrofix, Benzoin, Vanillin, and Patchouli",4050,486,150,120,2,10,250,1018,1518
,,  7 ,JANAN GOLD BY J.,J.,Sensula,Men,All Seasons,DAY & NIGHT,"Red Apple, Bergamot, Blackcurrant, and Pineapple","Rose, Jasmine, Patchouli, and Birch","Leather, Oakmoss, Amber, Vanilla, and Musk",4000,480,150,120,2,10,250,1012,1512
,,  8 ,SHAMAMA,,Farhan,Unisex,Winter & Autumn,Evening / Night,"Saffron, Cardamom, Clove, and Herbal Accords","Exotic Rose, Jasmine, Henna (Mehndi), and Earthy Roots","Pure Sandalwood, Agarwood (Oud), Musk, Ambergris, and Patchouli",4000,480,150,120,2,10,250,1012,1512
,,  9 ,BOSS THE SCENT MAGNETIC FOR HER BY HUGO BOSS,HUGO BOSS,TRS Chem,Women,All Seasons,Evening / Night,"Pure White Musk (gives it an immediate ""clean skin"" but sensual feel)",Osmanthus (a flower that smells naturally like apricots and leather),Ambrette (Musk Mallow) and Citrus,3900,468,150,120,2,10,250,1000,1500
,,  10 ,OFFICE FOR MEN BY JEREMY FRAGRANCE,JEREMY FRAGRANCE,Sensula,Men,All Seasons,Day Time,"Ambroxan, Bergamot, and Orris Root","Woody Notes, Floral Notes, Ambergris, Jasmine, and Amber","Woody Notes, Musk, Patchouli, and Cashalox",3900,468,150,120,2,10,250,1000,1500
,,  11 ,DELINA BY PARFUMS DE MARLY,PARFUMS DE MARLY,TRS Chem,Women,Spring & Summer,Day Time,"Litchi, Rhubarb, Bergamot, and Nutmeg","Turkish Rose, Peony, Musk, Petalia, and Vanilla","Cashmeran, Cedar, Haitian Vetiver, and Incense",3800,456,150,120,2,10,250,988,1488
,,  12 ,OUD ROSEWOOD BY CHRISTIAN DIOR,DIOR,TRS Chem,Unisex,"Spring, Winter &  Autumn",DAY & NIGHT,Raspberry and Quince,Animalic Notes and Sandalwood,Agarwood (Oud) and Palisander Rosewood,3700,444,150,120,2,10,250,976,1476
,,  13 ,BACCARAT ROUGE 540 BY MAISON FRANCIS,MAISON FRANCIS,TRS Chem,Unisex,Summer,DAY & NIGHT,"Saffron, Jasmine (Hedione)","Amberwood, Ambergris (Mineral & Salty)","Fir Resin, Cedar, Sugar (Ethyl Maltol",3600,432,150,120,2,10,250,964,1464
,,  14 ,CRYSTAL SAFFRON BY MATIERE PREMIERE,MATIERE PREMIERE,TRS Chem,Unisex,All Seasons,DAY & NIGHT,Greek Saffron,Musk Habanolide,"Ambroxan and Incense (Provides long-lasting,slightly smoky &salty-sweet finish)",3600,432,150,120,2,10,250,964,1464
,,  15 ,GUCCI GUILTY ELIXIR DE PARFUM POUR FEMME,GUCCI,TRS Chem,Women,Winter & Autumn,Evening / Night,"Bergamot, Mandora, and Violet","Wisteria Accord, Rose, and Osmanthus","Vanilla Absolute, Tonka Bean, and Patchouli",3600,432,150,120,2,10,250,964,1464
,,  16 ,JANAN OUD BY J.,J.,Hussaini,Men,Winter & Autumn,Evening / Night,"Raspberry, Saffron, Clove, and Ozonic Accord","Rose, Tea, Lily of the Valley, and Geranium","Agarwood (Oud), Leather, Amber, Patchouli, and Sandalwood",3600,432,150,120,2,10,250,964,1464
,,  17 ,TAREEKH BY J.,J.,Hussaini,Unisex,Winter & Autumn,Evening / Night,Oudh (Agarwood) and Amber,Woody Notes and Warm Spices,Rose and Sandalwood,3600,432,150,120,2,10,250,964,1464
,,  18 ,POLO BLACK BY RALPH LAUREN, RALPH LAUREN,TRS Chem,Men,All Seasons,Day Time,"Iced Mango, Tangerine, and Lemon",Silver Armoise (Wormwood) and Spanish Sage,"Patchouli Noir, Sandalwood, and Tonka Bean",3520,422.4,150,120,2,10,250,954.4,1454.4
